"filename", "language", "Markdown", "JavaScript", "HTML", "Properties", "XML", "CSS", "comment", "blank", "total"
"f:\FTLSimultaor\FTLSimultaor\.gitattributes", "Properties", 0, 0, 0, 1, 0, 0, 1, 1, 3
"f:\FTLSimultaor\FTLSimultaor\.idea\FTLSimultaor.iml", "XML", 0, 0, 0, 0, 8, 0, 0, 0, 8
"f:\FTLSimultaor\FTLSimultaor\.idea\misc.xml", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 6
"f:\FTLSimultaor\FTLSimultaor\.idea\modules.xml", "XML", 0, 0, 0, 0, 8, 0, 0, 0, 8
"f:\FTLSimultaor\FTLSimultaor\.idea\vcs.xml", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 6
"f:\FTLSimultaor\FTLSimultaor\PlugIn\JQuery.js", "JavaScript", 0, 6906, 0, 0, 0, 0, 1890, 2076, 10872
"f:\FTLSimultaor\FTLSimultaor\PlugIn\Popper.js", "JavaScript", 0, 283, 0, 0, 0, 0, 5, 51, 339
"f:\FTLSimultaor\FTLSimultaor\PlugIn\bootstrap\css\bootstrap-grid.css", "CSS", 0, 0, 0, 0, 0, 3686, 7, 211, 3904
"f:\FTLSimultaor\FTLSimultaor\PlugIn\bootstrap\css\bootstrap-grid.min.css", "CSS", 0, 0, 0, 0, 0, 1, 6, 0, 7
"f:\FTLSimultaor\FTLSimultaor\PlugIn\bootstrap\css\bootstrap-reboot.css", "CSS", 0, 0, 0, 0, 0, 262, 8, 55, 325
"f:\FTLSimultaor\FTLSimultaor\PlugIn\bootstrap\css\bootstrap-reboot.min.css", "CSS", 0, 0, 0, 0, 0, 1, 7, 0, 8
"f:\FTLSimultaor\FTLSimultaor\PlugIn\bootstrap\css\bootstrap.css", "CSS", 0, 0, 0, 0, 0, 9063, 7, 1208, 10278
"f:\FTLSimultaor\FTLSimultaor\PlugIn\bootstrap\css\bootstrap.min.css", "CSS", 0, 0, 0, 0, 0, 1, 6, 0, 7
"f:\FTLSimultaor\FTLSimultaor\PlugIn\bootstrap\js\bootstrap.bundle.js", "JavaScript", 0, 4494, 0, 0, 0, 0, 1364, 1176, 7034
"f:\FTLSimultaor\FTLSimultaor\PlugIn\bootstrap\js\bootstrap.bundle.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 6, 0, 7
"f:\FTLSimultaor\FTLSimultaor\PlugIn\bootstrap\js\bootstrap.js", "JavaScript", 0, 3255, 0, 0, 0, 0, 314, 852, 4421
"f:\FTLSimultaor\FTLSimultaor\PlugIn\bootstrap\js\bootstrap.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 6, 0, 7
"f:\FTLSimultaor\FTLSimultaor\README.md", "Markdown", 1, 0, 0, 0, 0, 0, 0, 2, 3
"f:\FTLSimultaor\FTLSimultaor\Scripts\Data\Block.js", "JavaScript", 0, 126, 0, 0, 0, 0, 20, 24, 170
"f:\FTLSimultaor\FTLSimultaor\Scripts\Data\Data.js", "JavaScript", 0, 182, 0, 0, 0, 0, 30, 23, 235
"f:\FTLSimultaor\FTLSimultaor\Scripts\Data\Page.js", "JavaScript", 0, 22, 0, 0, 0, 0, 2, 5, 29
"f:\FTLSimultaor\FTLSimultaor\Scripts\FTL\SSD.js", "JavaScript", 0, 227, 0, 0, 0, 0, 44, 42, 313
"f:\FTLSimultaor\FTLSimultaor\index.html", "HTML", 0, 0, 228, 0, 0, 0, 2, 55, 285
"Total", "-", 1, 15497, 228, 1, 28, 13014, 3725, 5781, 38275
